Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-11 08:00:00,13530.42000000,13896.70000000,13041.00000000,13385.10000000,3680.23177100,2018-01-11 11:59:59.999,49614578.91907465,30936,1797.32816800,24219596.52955260,0
2018-01-11 12:00:00,13385.10000000,14400.00000000,13282.13000000,13958.08000000,4441.49346200,2018-01-11 15:59:59.999,61633108.38028549,39597,2197.11572600,30467229.28279464,0
2018-01-11 16:00:00,13950.05000000,14190.00000000,13205.58000000,13430.16000000,2789.52886000,2018-01-11 19:59:59.999,38399667.92412966,26281,1377.46552900,18963802.23913201,0
2018-01-11 20:00:00,13400.00000000,13655.92000000,12511.00000000,13238.78000000,4794.63621900,2018-01-11 23:59:59.999,62809916.15421131,37773,2303.89955000,30161264.26519435,0
2018-01-12 00:00:00,13238.76000000,13855.00000000,12500.00000000,13850.00000000,4171.70347900,2018-01-12 03:59:59.999,55125602.97206160,28755,2054.88702300,27160713.90325369,0
2018-01-12 04:00:00,13854.95000000,13966.63000000,13354.10000000,13722.04000000,2879.46823600,2018-01-12 07:59:59.999,39480638.07701193,26169,1297.67518300,17777838.20210999,0
2018-01-12 08:00:00,13722.04000000,14109.78000000,13301.99000000,13900.02000000,2432.97381500,2018-01-12 11:59:59.999,33439906.79670391,20334,1298.03381200,17850167.49153316,0
2018-01-12 12:00:00,13900.02000000,14059.48000000,13358.99000000,13411.79000000,2641.69364000,2018-01-12 15:59:59.999,36339502.85375477,24210,1330.73024700,18311980.63779838,0
2018-01-12 16:00:00,13411.79000000,13801.01000000,13222.00000000,13717.00000000,2835.85307700,2018-01-12 19:59:59.999,38145439.76181056,21366,1422.41174600,19133876.68436799,0
2018-01-12 20:00:00,13717.00000000,13900.00000000,13510.00000000,13740.01000000,1455.46989000,2018-01-12 23:59:59.999,19984985.81011630,13618,713.57406400,9805443.26241479,0
2018-01-13 00:00:00,13749.95000000,14250.00000000,13706.15000000,14066.00000000,2933.25073700,2018-01-13 03:59:59.999,41146996.10198468,23746,1338.34210900,18759110.09472753,0
2018-01-13 04:00:00,14065.99000000,14320.00000000,13948.41000000,14255.09000000,2020.96998500,2018-01-13 07:59:59.999,28510758.84587343,19396,859.72157300,12126374.33645685,0
2018-01-13 08:00:00,14250.00000000,14254.00000000,13974.94000000,14178.00000000,1680.67953200,2018-01-13 11:59:59.999,23746012.67269288,18655,806.34036200,11396576.88202932,0
2018-01-13 12:00:00,14166.00000000,14580.00000000,14083.55000000,14241.26000000,2567.92361200,2018-01-13 15:59:59.999,36805582.06207665,26247,1207.36876400,17314488.73421906,0
2018-01-13 16:00:00,14257.84000000,14357.00000000,13923.18000000,14089.34000000,1948.45653400,2018-01-13 19:59:59.999,27695774.66434785,21755,928.25841300,13198877.59745284,0
2018-01-13 20:00:00,14086.64000000,14348.19000000,14022.00000000,14210.00000000,1070.22812800,2018-01-13 23:59:59.999,15181364.20090855,13840,434.14718700,6162671.30150009,0
2018-01-14 00:00:00,14210.00000000,14339.50000000,14088.55000000,14162.00000000,1083.62317600,2018-01-14 03:59:59.999,15402103.29610436,12723,513.84724900,7306513.31428542,0
2018-01-14 04:00:00,14165.00000000,14200.00000000,13359.07000000,13590.00000000,2682.71794800,2018-01-14 07:59:59.999,36815507.48439377,26577,1315.04669400,18058959.71314899,0
2018-01-14 08:00:00,13590.00000000,13720.00000000,13120.00000000,13280.15000000,2964.08314900,2018-01-14 11:59:59.999,39724840.98393838,25073,1458.30315900,19545021.18762834,0
2018-01-14 12:00:00,13280.16000000,13426.45000000,12569.20000000,12869.89000000,6253.56516400,2018-01-14 15:59:59.999,81257749.94374441,46102,2987.51698900,38842096.78627095,0
2018-01-14 16:00:00,12869.82000000,13450.00000000,12690.01000000,13109.00000000,2321.42021600,2018-01-14 19:59:59.999,30448265.75736926,22822,1200.14227200,15756869.01444575,0
2018-01-14 20:00:00,13130.52000000,13600.80000000,13100.00000000,13474.99000000,1712.48467600,2018-01-14 23:59:59.999,22876837.66383092,19067,813.52654800,10872096.65681917,0
